"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"281";"T001093";"A048710";"MBG0095";"PV27    ";"2019JJ00";"    34.7"
"282";"T001093";"A048710";"MBG0095";"PV27    ";"2020JJ00";"    23.7"
"283";"T001093";"A048710";"MBG0095";"PV27    ";"2021JJ00";"    26.5"
"284";"T001093";"A048710";"MBG0095";"PV27    ";"2022JJ00";"    29.5"
"285";"T001093";"A048710";"MBG0095";"PV28    ";"2018JJ00";"    43.9"
"286";"T001093";"A048710";"MBG0095";"PV28    ";"2019JJ00";"    44.3"
"287";"T001093";"A048710";"MBG0095";"PV28    ";"2020JJ00";"    30.5"
"288";"T001093";"A048710";"MBG0095";"PV28    ";"2021JJ00";"    34.0"
"289";"T001093";"A048710";"MBG0095";"PV28    ";"2022JJ00";"    36.3"
"290";"T001093";"A048710";"MBG0095";"PV29    ";"2018JJ00";"     4.9"
"291";"T001093";"A048710";"MBG0095";"PV29    ";"2019JJ00";"     5.6"
"292";"T001093";"A048710";"MBG0095";"PV29    ";"2020JJ00";"     4.3"
"293";"T001093";"A048710";"MBG0095";"PV29    ";"2021JJ00";"     5.0"
"294";"T001093";"A048710";"MBG0095";"PV29    ";"2022JJ00";"     4.9"
"295";"T001093";"A048710";"MBG0095";"PV30    ";"2018JJ00";"    33.7"
"296";"T001093";"A048710";"MBG0095";"PV30    ";"2019JJ00";"    33.6"
"297";"T001093";"A048710";"MBG0095";"PV30    ";"2020JJ00";"    23.2"
"298";"T001093";"A048710";"MBG0095";"PV30    ";"2021JJ00";"    25.3"
"299";"T001093";"A048710";"MBG0095";"PV30    ";"2022JJ00";"    29.5"
"300";"T001093";"A048710";"MBG0095";"PV31    ";"2018JJ00";"    13.8"
"301";"T001093";"A048710";"MBG0095";"PV31    ";"2019JJ00";"    13.4"
"302";"T001093";"A048710";"MBG0095";"PV31    ";"2020JJ00";"    10.1"
"303";"T001093";"A048710";"MBG0095";"PV31    ";"2021JJ00";"    10.7"
"304";"T001093";"A048710";"MBG0095";"PV31    ";"2022JJ00";"    12.0"
"305";"T001093";"A048710";"MBG0095";"1018850 ";"2018JJ00";"    48.6"
"306";"T001093";"A048710";"MBG0095";"1018850 ";"2019JJ00";"    47.9"
"307";"T001093";"A048710";"MBG0095";"1018850 ";"2020JJ00";"    32.5"
"308";"T001093";"A048710";"MBG0095";"1018850 ";"2021JJ00";"    37.6"
"309";"T001093";"A048710";"MBG0095";"1018850 ";"2022JJ00";"    42.3"
"310";"T001093";"A048710";"MBG0095";"1018905 ";"2018JJ00";"    68.2"
"311";"T001093";"A048710";"MBG0095";"1018905 ";"2019JJ00";"    68.8"
